"student_id","biggest_challenge"
"S0059","The direction of my thesis changed twice after comments from my supervsor. Sometimes I rewrite the same section again and again without knowing if it is right."
"S0061","I am the only one at home who can drive, so my days are full of errands. Childcare is expensive and not always available."
"S0062","I feel uncomfortable asking my supervisor for help."
"S0063","For me, balancing family responsibilities with research is my biggest challenge."
"S0064","The reading list alone would take a year to get through. I cannot remember the last time I took a full day off. Otherwise the programme is fine."
"S0065","Since moving to a new city I have spent most evenings alone. Online meetings do not replace having people around"
"S0066","I work late almost every night just to keep up."
"S0067","The reading list alone would take a year to get through. And I look after a toddler."
"S0068","I miss home, especially during exams. Online meetings do not replace having people around."
"S0069","My supervisor went on leave for a semester and I was left on my own. I am afraid to complain because I depend on their support."
"S0070","My laptop broke in the middle of the semester and I lost some files."
"S0071","After my baby was born I could not keep a study routine. Childcare is expensive and not always available"
"S0072","Nobody tells me whether my work is good enough until it is too late."
"S0073","Combining coursework, teaching and my thesis leaves me no time to rest."
"S0074","Our meetings are rushed and I leave with more questions than answers. It makes me doubt whether I am capable of finishing."
"S0076","Balancing family responsibilities with research is my biggest challenge. My partner helps, but it is still a struggle. Also, I work alone all the time."
"S0077","The direction of my thesis changed twice after comments from my supervisor. Sometimes I rewrite the same section again and again without knowing if it is right."
"S0078","caring for my wife, who was ill for most of the year, took much of my time."
"S0079","Teaching duties take up most of the week, so my own research always comes last. I hope next year is better."
"S0080","My supervisor went on leave for a semester and I was left on my own. I am afraid to complain because I depend on their support"
"S0081","learning statistics for my analysis was harder than I expected. On top of that, I get little guidance."
"S0082","family responsibilities"
"S0085","I never really know what my supervisor expects from me. On top of that, there are too many deadlines."
"S0087","Probably my supervisor has too many students to give each of us proper time."
"S0088","I hardly know anyone in my department."
"S0089","Probably I have to finish my draft and two assignments before the end of the month. My sleep is the first thing to suffer when deadlines come. Things are slowly improving"
"S0090","I underestimated how much work a thesis is. My sleep is the first thing to suffer when deadlines come. Besides that, I do not have friends in the department. I hope next year is better."
"S0092","My supervisor went on leave for a semester and I was left on my own."
"S0093","The comments I get are very brief, so I have to guess what to fix. Sometimes I rewrite the same section again and again without knowing if it is right."
"S0094","My supervisor has too many students to give each of us proper time. Other students in my group seem to get much more attention."
"S0095","my supervisor is hard to reach and I often wait two weeks for a reply."
"S0096","Probably I started having insomnia in my second semester."
"S0097","I had to take working in an office to pay for my studies."
"S0098","financial problems"
"S0099","Teaching duties take up most of the week, so my own research always comes last. My sleep is the first thing to suffer when deadlines come. At the same time, my supervisor is hard to reach."
"S0101","I work late almost every night just to keep up. Some weeks I study more than sixty hours."
"S0103","My supervisor has too many students to give each of us proper time. And my familly needs me."
"S0105","I underestimated how much work a thesis is. Planning helps a little, but there is still too much. Plus I sleep badly. Otherwise the programme is fine"
"S0106","mental health"
"S0108","I would say there is simply too much to do and never enough time."
"S0109","definitely every deadline seems to fall in the same few weeks."
"S0110","I worry about money more than about my research. I feel embarrassed to talk about it with other students."
"S0111","Writing my literature review took far longer than I planned. And I do not have friends in the department. I am coping, but only just."
"S0112","I have to finish my methods chapter and two assignments before the end of the month"
"S0113","Balancing family responsibilities with research is my biggest challenge."
"S0114","Burnout made me lose interest in my research for a while. I hope next year is better."
"S0115","I was ill for several weeks and fell behind."
"S0116","I was assigned a supervisor from a different field who does not know my topic well. On top of that, the workload is heavy."
"S0117","To be honest, I feel uncomfortable asking my supervisor for help. Things are slowly improving."
"S0118","no friends here"
"S0119","I cannot afford to travel for data collection."
"S0121","Nobody in my group works on anything close to my topic. Plus my supervisor is hard to reach."
"S0122","anxiety about my progress keeps me awake at night. I finally went to the counselling service, which helped. It has been a hard year."
"S0123","Nobody in my group works on anything close to my topic. At the same time, my supervisor is hard to reach. Otherwise the programme is fine."
"S0124","Probably the data collection for my project turned out to be enormous."
"S0125","I was assigned a supervisor from a different field who does not know my topic well. I have started to rely on friends for advice instead"
"S0126","I stopped exercising and I can feel the difference. The doctor told me to slow down, but I do not see how."
"S0127","I spend my weekends studying and still feel behind. Also, the feedback on my work is slow. Otherwise the programme is fine."
"S0128","I never really know what my supervisor expects from me. I am afraid to complain because I depend on their support. At the same time, stress gives me insomnia. The wellbeing workshop helped a little."
"S0129","Burnout made me lose interest in my research for a while."
"S0130","I have to finish my literature review and two assignments before the end of the month. On top of that, the university paperwork is slow. Otherwise the programme is fine."
"S0131","The direction of my thesis changed twice after comments from my supervisor."
"S0132","homesickness"
"S0133","Keeping up with the pace of the programme is my biggest problem. Besides that, I feel lonely here."
"S0134","Most of my income goes on tuition fees. I check my bank account more often than my email. Plus my family needs me."
"S0135","I moved to another country for my studies and I feel lonely."
"S0136","Research is a lonely process and I miss working with others. It has been a hard year."
"S0138","I drink far too much coffee just to stay awake. On top of that, home is not a quiet place to study."
"S0139","I sent my methods chapter to my supervisor and heard nothing for three weeks. Also, there are too many deadlines."
"S0140","The direction of my thesis changed twice after comments from my supervisor. Also, the fees keep going up."
"S0141","I work late almost every night just to keep up"
"S0142","Writing my literature review took far longer than I planned."
"S0143","Keeping up with the pace of the programme is my biggest problem. On top of that, my supervisor is hard to reach"
"S0144","getting feedback on my first chapter took three weeks, and by then I had lost momentum. It has been a hard year."
"S0145","I work late almost every night just to keep up. Planning helps a little, but there is still too much."
"S0146","no time"
"S0147","My supervisor is hard to reach and I often wait six weeks for a reply. Besides that, I also have to work to pay my loan."
"S0148","I underestimated how much work a thesis is. Things are slowly improving."
"S0149","To be honest, every deadline seems to fall in the same few weeks."
"S0150","our meetings are rushed and I leave with more questions than answers. Other students in my group seem to get much more attention."
"S0151","I have to finish my proposal and two assignments before the end of the month."
"S0152","Getting feedback on my methods chapter took three weeks, and by then I had lost momentum. Sometimes I rewrite the same section again and again without knowing if it is right. It has been a hard year"
"S0153","The reading list alone would take a year to get through."
"S0154","Family."
"S0155","My supervisor is hard to reach and I often wait a month for a reply."
"S0156","Writing my draft took far longer than I planned."
"S0157","Honestly, the comments I get are very brief, so I have to guess what to fix. Plus the fees keep going up."
"S0158","My scholarship does not cover my living costs. Plus the workload is heavy."
"S0159","There is simply too much to do and never enough time."
"S0160","Most nights I sleep four or five hours. Plus I get little guidance"
"S0161","I hardly know anyone in my department. I did not expect it to feel so isolating. On top of that, I look after three children."
"S0162","Nobody tells me whether my work is good enough until it is too late. Other students in my group seem to get much more attention. On top of that, my father has been ill."
"S0163","Managing several assignments at the same time is exhausting. It feels like running without ever reaching the finish line. The wellbeing workshop helped a little."
"S0164","I never really know what my supervsor expects from me. It makes me doubt whether I am capable of finishing. At the same time, I do not have friends in the department. I am coping, but only just"
"S0165","Nobody tells me whether my work is good enough until it is too late. When we do meet, the advice is useful, but it happens rarely. Otherwise the programme is fine."
"S0166","For me, there is simply too much to do and never enough time."
"S0167","It is hard to find a quiet place to study at home."
"S0168","I would say after my baby was born I could not keep a study routine. I often study at the kitchen table with noise all around me."
"S0169","The other students already knew each other when I arrived. Online meetings do not replace having people around. Besides that, there are too many deadlines."
"S0170","Getting feedback on my methods chapter took over a month, and by then I had lost momentum. I hope next year is better."
"S0171","I never really know what my supervsor expects from me. When we do meet, the advice is useful, but it happens rarely. On top of that, I look after three children. It has been a hard year."
"S0172","I feel like an outsider in my research group."
"S0173","I miss home, especially during exams. And home is not a quiet place to study. Things are slowly improving."
"S0174","Anxiety about my progress keeps me awake at night. On top of that, I get little guidance."
"S0175","Research is a lonely process and I miss working with others. Weeks can pass without a real conversation about my work. On top of that, statistics is hard for me."
"S0176","My supervisor!"
"S0177","I started having headaches in my second semester. Besides that, I never have enough time."
"S0178","Keeping up with the pace of the programme is my biggest problem. Besides that, the fees keep going up. Things are slowly improving."
"S0179","I borrowed money from relatives to pay for this semester. The extra job means less time for my thesis. Also, statistics is hard for me."
"S0180","My supervisor has too many students to give each of us proper time. I have started to rely on friends for advice instead. And I never have enough time."
"S0181","I never really know what my supervisor expects from me. Plus the fees keep going up."
"S0182","I feel like an outsider in my research group. Besides that, my supervisor and I do not always agree. Things are slowly improving."
"S0184","The biggest one is that our meetings are rushed and I leave with more questions than answers."
"S0185","I sent my draft to my supervisor and heard nothing for a month. Sometimes I rewrite the same section again and again without knowing if it is right"
"S0186","Managing several assignments at the same time is exhausting."
"S0187","My supervisor has too many students to give each of us proper time. Also, I feel lonely here."
"S0188","My supervisor and I see the project very diffrently. When we do meet, the advice is useful, but it happens rarely."
"S0189","My supervisor is hard to reach and I often wait two weeks for a reply."
"S0190","I spend my weekends studying and still feel behind. Also, the university paperwork is slow. Things are slowly improving."
"S0191","After my baby was born I could not keep a study routine. Otherwise the programme is fine."
"S0192","I feel uncomfortable asking my supervsor for help."
"S0193","My supervisor has too many students to give each of us proper time. Plus my scholarship is not enough. It has been a hard year."
"S0194","I would say I feel tired all the time and cannot concentrate."
"S0195","Managing several assignments at the same time is exhausting. I cannot remember the last time I took a full day off."
"S0196","I drink far too much coffee just to stay awake. Besides that, I never have enough time."
"S0197","Anxiety about my progress keeps me awake at night."
"S0198","Our meetings are rushed and I leave with more questions than answers. Things are slowly improving."
"S0199","Writing my literature review took far longer than I planned."
"S0200","The reading list alone would take a year to get through. It has been a hard year."
"S0201","Honestly, I stopped exercising and I can feel the difference. And I feel lonely here."
"S0202","I spend my weekends studying and still feel behind."
"S0203","the direction of my thesis changed twice after comments from my supervisor. Other students in my group seem to get much more attention. Besides that, I feel lonely here."
"S0204","probably getting feedback on my literature review took over a month, and by then I had lost momentum. Also, the reading never ends. I hope next year is better."
"S0205","Definitely I was assigned a supervisor from a different field who does not know my topic well. Also, I feel lonely here"
"S0206","The direction of my thesis changed twice after comments from my supervisor. It has been a hard year."
"S0207","The reading list alone would take a year to get through."
"S0208","My supervisor and I see the project very diffrently. I have started to rely on friends for advice instead"
"S0209","My supervsor has too many students to give each of us proper time. And I work alone all the time."
"S0210","After my baby was born I could not keep a study routine. I feel I am letting down both my family and my supervisor. Otherwise the programme is fine."
"S0211","Every deadline seems to fall in the same few weeks."
"S0212","honestly, when my wife was in hospital I missed a whole month of work."
"S0213","I was assigned a supervisor from a different field who does not know my topic well. Sometimes I rewrite the same section again and again without knowing if it is right."
"S0214","The comments I get are very brief, so I have to guess what to fix. Plus my husband has been ill. I am coping, but only just."
"S0215","I have trouble sleeping, especially before deadlines. My concentration is so poor that simple tasks take hours."
"S0216","Looking after three children while studying is very hard."
"S0217","The biggest one is that family events and obligations keep interrupting my plans. Besides that, the reading never ends."
"S0219","Balancing family responsibilities with reserch is my biggest challenge. And I never have enough time. Things are slowly improving."
"S0221","My funding ends before my thesis will be finished. On top of that, I miss my family."
"S0222","I sent my draft to my supervsor and heard nothing for a month. Other students in my group seem to get much more attention."
"S0223","Most of my income goes on food and rent. Also, there are too many deadlines."
"S0224","I underestimated how much work a thesis is. Plus I get little guidance."
"S0225","I feel uncomfortable asking my supervisor for help."
"S0226","Definitely I sent my first chapter to my supervisor and heard nothing for two weeks. Also, I never have enough time."
"S0227","Learning to use the analysis software took most of my first year."
"S0228","I never really know what my supervisor expects from me."
"S0229","Our meetings are rushed and I leave with more questions than answers. On top of that, the reading never ends."
"S0230","I would say my supervisor and I see the project very differently."
"S0231","I cannot afford to travel for data collection. I am coping, but only just."
"S0232","I sent my proposal to my supervisor and heard nothing for a month. Sometimes I rewrite the same section again and again without knowing if it is right."
"S0235","there are few chances to meet other postgraduate students."
"S0236","I would say our meetings are rushed and I leave with more questions than answers. Also, I do not have friends in the department."
"S0237","Definitely learning to use the analysis software took most of my first year."
"S0239","Power cuts made it hard to work in the evenings. Otherwise the programme is fine"
"S0241","I feel exhausted even after the holidays. My concentration is so poor that simple tasks take hours."
"S0242","For me, my laptop broke in the middle of the semester and I lost some files. Also, I get little guidance"
"S0243","I work alone most of the time with no one to share ideas with. Weeks can pass without a real conversation about my work."
"S0244","To be honest, power cuts made it hard to work in the evenings. It delayed my whole timeline. I am coping, but only just."
"S0245","Finding participants for my study was a real problem. I had to teach myself from online videos. At the same time, I get little guidance. I hope next year is better."
"S0246","Teaching duties take up most of the week, so my own research always comes last. And my supervisor is hard to reach."
"S0247","I never really know what my supervisor expects from me."
"S0248","Our meetings are rushed and I leave with more questions than answers. Also, I sleep badly."
"S0249","Stress has affected my health and I get insomnia often. I hope next year is better."
"S0250","Research is a lonely process and I miss working with others. I hope next year is better."
"S0251","probably getting feedback on my methods chapter took over a month, and by then I had lost momentum. I am afraid to complain because I depend on their support. And I never have enough time. The wellbeing workshop helped a little."
"S0252","The reading list alone would take a year to get through. And I am always tired."
"S0253","I never really know what my supervisor expects from me. Sometimes I rewrite the same section again and again without knowing if it is right."
"S0254","The data collection for my project turned out to be enormous. On top of that, my supervisor and I do not always agree."
"S0255","Learning to use the analysis software took most of my first year."
"S0256","Nobody tells me whether my work is good enough until it is too late. I am afraid to complain because I depend on their support. Also, the reading never ends. Things are slowly improving"
"S0257","The data collection for my project turned out to be enormous. I cannot remember the last time I took a full day off. At the same time, my supervisor is hard to reach."
"S0258","For me, books, software and conference fees are expensive"
"S0259","Our meetings are rushed and I leave with more questions than answers."
"S0260","I never really know what my supervisor expects from me. I am afraid to complain because I depend on their support. At the same time, the workload is heavy"
"S0261","My supervisor went on leave for a semester and I was left on my own. Things are slowly improving"
"S0262","I would say writing my questionnaire took far longer than I planned."
"S0263","I am the only one at home who can drive, so my days are full of errands. The wellbeing workshop helped a little."
"S0264","My family needs me at home and I feel guilty working on my thesis"
"S0265","My supervisor and I see the project very diffrently"
"S0266","The biggest one is that books, software and conference fees are expensive."
"S0267","I feel tired all the time and cannot concentrate. Plus I never have enough time."
"S0268","combining coursework, a part-time job and my thesis leaves me no time to rest. Otherwise the programme is fine."
"S0271","For me, it is difficult to get my two supervisors to agree on anything. And I sleep badly. Things are slowly improving."
"S0272","Nobody tells me whether my work is good enough until it is too late. Otherwise the programme is fine."
"S0273","Stress has affected my health and I get back pain often. At the same time, my supervisor and I do not always agree."
"S0274","Learning to use the analysis software took most of my first year. It was frustrating because it was outside my control."
"S0275","Definitely being far from my family makes the bad days worse. It has been a hard year."
"S0276","Feedback from my supervisor."
"S0277","The data collection for my project turned out to be enormous."
"S0278","no time"
"S0279","Probably being far from my family makes the bad days worse. Weeks can pass without a real conversation about my work."
"S0280","I work alone most of the time with no one to share ideas with. At the same time, the university paperwork is slow. It has been a hard year."
"S0282","To be honest, our meetings are rushed and I leave with more questions than answers. Other students in my group seem to get much more attention. And getting permission from schools was delayed. Otherwise the programme is fine."
"S0283","I stopped exercising and I can feel the difference."
"S0284","Mainly it is difficult to get my two supervisors to agree on anything."
"S0285","I sent my draft to my supervisor and heard nothing for three weeks."
"S0287","Probably most of my friends have finished studying and moved on. At the same time, my supervsor is hard to reach."
"S0288","I feel uncomfortable asking my supervisor for help"
"S0289","Most nights I sleep less than six hours. It has been a hard year."
"S0290","My supervisor went on leave for a semester and I was left on my own."
"S0291","Books, software and conference fees are expensive. I am coping, but only just."
"S0292","I would say my salary was paid late several times this year. It has been a hard year."
"S0293","money money money"
"S0294","Mainly my supervisor is hard to reach and I often wait two weeks for a reply."
"S0295","The comments I get are very brief, so I have to guess what to fix. On top of that, the workload is heavy."
"S0296","Mainly burnout made me lose interest in my research for a while. My concentration is so poor that simple tasks take hours."
"S0297","definitely being far from my family makes the bad days worse. Plus my supervisor and I do not always agree."
"S0298","The direction of my thesis changed twice after comments from my supervisor. Also, home is not a quiet place to study."
"S0299","Definitely the reading list alone would take a year to get through. Some weeks I study more than sixty hours."
"S0300","My scholarship does not cover my living costs. I hope next year is better."
"S0301","My supervisor!"
"S0302","Getting feedback on my draft took three weeks, and by then I had lost momentum. On top of that, my scholarship is not enough."
"S0303","Family events and obligations keep interrupting my plans."
"S0304","The direction of my thesis changed twice after comments from my supervisor. On top of that, I do not have friends in the department."
"S0305","My supervisor and I see the project very diffrently. Also, I do not have friends in the department."
"S0306","mental health"
"S0307","workload"
"S0308","Stress."
"S0309","Writing in academic English is my biggest challenge. Also, the reading never ends. I am coping, but only just."
"S0310","keeping up with the pace of the programme is my biggest problem."
"S0311","the direction of my thesis changed twice after comments from my supervisor. Besides that, stress gives me headaches. I am coping, but only just."
"S0312","Probably I underestimated how much work a thesis is. My sleep is the first thing to suffer when deadlines come. I hope next year is better."
"S0313","I hardly know anyone in my departement. A study group would make a big difference."
"S0314","It is difficult to get my two supervisors to agree on anything. Other students in my group seem to get much more attention. I am coping, but only just."
"S0316","Honestly, I drink far too much coffee just to stay awake. Otherwise the programme is fine."
"S0317","Managing several assignments at the same time is exhausting."
"S0319","I hardly know anyone in my department. I did not expect it to feel so isolating. Plus I get little guidance."
"S0320","no time"
"S0321","I sent my literature review to my supervisor and heard nothing for three weeks. I hope next year is better."
"S0322","Family."
"S0324","I never really know what my supervisor expects from me."
"S0325","Getting feedback on my questionnaire took over a month, and by then I had lost momentum. I am coping, but only just."
"S0326","To be honest, my supervisor has too many students to give each of us proper time. Also, my mental health has suffered. Otherwise the programme is fine."
"S0327","Caring for my father, who was ill for most of the year, took much of my time."
"S0328","Probably my family does not understand why a postgraduate degree takes so long. Childcare is expensive and not always available. Also, the feedback on my work is slow."
"S0329","getting feedback on my proposal took three weeks, and by then I had lost momentum. At the same time, I miss my family. It has been a hard year."
"S0330","University procedures are slow and confusing."
"S0331","To be honest, my supervisor went on leave for a semester and I was left on my own."
"S0332","Isolation."
"S0333","Anxiety about my progress keeps me awake at night. I hope next year is better"
"S0334","I hardly know anyone in my department."
"S0335","I started having insomnia in my second semester. My concentration is so poor that simple tasks take hours. Otherwise the programme is fine."
"S0336","I sent my literature review to my supervisor and heard nothing for two weeks."
"S0337","Looking after three children while studying is very hard. At the same time, I never have enough time. Things are slowly improving."
"S0338","home life"
"S0339","Definitely I have to finsh my draft and two assignments before the end of the month."
"S0340","I sent my methods chapter to my supervisor and heard nothing for two weeks."
"S0341","My supervisor has too many students to give each of us proper time."
"S0342","Books, software and conference fees are expensive. Plus I look after three children."
"S0343","My supervisor has too many students to give each of us proper time. Otherwise the programme is fine."
"S0344","Probably there is simply too much to do and never enough time. Otherwise the programme is fine"
"S0345","I started having headaches in my second semester."
"S0346","Books, software and conference fees are expensive. At the end of the month I sometimes skip meals. And I do not have friends in the department."
"S0347","Keeping up with the pace of the programme is my biggest problem. Some weeks I study more than sixty hours. At the same time, my supervisor is hard to reach. I hope next year is better."
"S0348","To be honest, every deadline seems to fall in the same few weeks. I have a to-do list that never gets shorter"
"S0349","I am the only one at home who can drive, so my days are full of errands. I feel I am letting down both my family and my supervisor. On top of that, stress gives me headaches."
"S0352","I had to take a part-time job to pay for my studies."
"S0353","To be honest, I had to take shifts at a hospital to pay for my studies. Also, the workload is heavy."
"S0355","After my baby was born I could not keep a study routine."
"S0356","I would say it is difficult to get my two supervisors to agree on anything. And stress gives me stomach problems. I am coping, but only just."
"S0357","The comments I get are very brief, so I have to guess what to fix. Besides that, my mental health has suffered. Things are slowly improving."
"S0358","Nobody tells me whether my work is good enough until it is too late."
"S0359","Keeping up with the pace of the programme is my biggest problem. Besides that, my supervisor is hard to reach"
"S0360","Honestly, I am the only one at home who can drive, so my days are full of errands. My partner helps, but it is still a struggle"
"S0361","I miss home, especially during exams. On top of that, money is tight."
"S0362","It is difficult to get my two supervisors to agree on anything."
"S0363","I would say the comments I get are very brief, so I have to guess what to fix."
"S0364","since moving to a new city I have spent most evenings alone. Things are slowly improving."
"S0365","It is dificult to get my two supervisors to agree on anything. It has been a hard year."
"S0366","Most of my friends have finished studying and moved on. I am coping, but only just."
"S0367","For me, every deadline seems to fall in the same few weeks."
"S0368","I moved to a new city for my studies and I feel lonely. A study group would make a big difference."
"S0369","I was assigned a supervisor from a different field who does not know my topic well. I hope next year is better."
"S0370","there is simply too much to do and never enough time."
"S0371","Definitely burnout made me lose interest in my research for a while."
"S0372","Honestly, it is difficult to get my two supervisors to agree on anything. I have started to rely on friends for advice instead."
"S0374","workload"
"S0375","It is difficult to get my two supervisors to agree on anything. Otherwise the programme is fine."
"S0377","I was assigned a supervisor from a different field who does not know my topic well. It makes me doubt whether I am capable of finishing."
"S0378","honestly, it is dificult to get my two supervisors to agree on anything."
"S0379","I moved to the capital for my studies and I feel lonely. I call my family every day, but it is not the same."
"S0381","Teaching duties take up most of the week, so my own research always comes last. On top of that, my supervisor and I do not always agree. I have seriously thought about leaving the programme."
"S0382","Prices have gone up but my stipend has not. At the end of the month I sometimes skip meals. The wellbeing workshop helped a little."
"S0383","Research is a lonely process and I miss working with others. I did not expect it to feel so isolating. I am coping, but only just."
"S0384","To be honest, I am the only one at home who can drive, so my days are full of errands. Also, statistics is hard for me."
"S0385","The direction of my thesis changed twice after comments from my supervisor. On top of that, the workload is heavy."
"S0386","Mainly there is simply too much to do and never enough time. It has been a hard year."
"S0387","Mainly family events and obligations keep interrupting my plans. Weekends belong to the family, not to my thesis. I hope next year is better."
"S0388","I feel like an outsider in my research group."
"S0389","I worry about money more than about my research."
"S0390","For me, my supervisor has too many students to give each of us proper time."
"S0391","I drink far too much coffee just to stay awake. My concentration is so poor that simple tasks take hours."
"S0392","there is simply too much to do and never enough time."
"S0393","Probably the reading list alone would take a year to get through. It feels like running without ever reaching the finish line."
"S0396","I underestimated how much work a thesis is. Some weeks I study more than sixty hours. Plus my supervisor and I do not always agree"
"S0397","Learning statistics for my analysis was harder than I expected. Now it is solved, but I lost a lot of time."
"S0398","For me, the reading list alone would take a year to get through."
"S0399","I moved to a new city for my studies and I feel lonley. I did not expect it to feel so isolating. Otherwise the programme is fine."
"S0400","Family events and obligations keep interrupting my plans. Plus stress gives me insomnia."
"S0401","Combining coursework, my job at a school and my thesis leaves me no time to rest. On top of that, I sleep badly"
"S0402","Combining coursework, teaching and my thesis leaves me no time to rest. Besides that, my mental health has suffered."
"S0403","The biggest one is that I feel like an outsider in my research group. I did not expect it to feel so isolating. The wellbeing workshop helped a little"
"S0404","I miss home, especially during exams."
"S0405","Combining coursework, tutoring and my thesis leaves me no time to rest. My sleep is the first thing to suffer when deadlines come. On top of that, my English writing needs work. Otherwise the programme is fine."
"S0406","I feel uncomfortable asking my supervisor for help. Plus my family needs me. Things are slowly improving."
"S0407","it is difficult to get my two supervisors to agree on anything."
"S0408","I would say I feel like an outsider in my research group. It has been a hard year."
"S0409","nobody tells me whether my work is good enough until it is too late."
"S0410","Probably my supervisor has too many students to give each of us proper time. I am coping, but only just."
"S0411","I started having back pain in my second semester. I am coping, but only just."
"S0412","I feel exhausted even after the holidays. The doctor told me to slow down, but I do not see how."
"S0413","The reading list alone would take a year to get through. I cannot remember the last time I took a full day off. Plus I am always tired."
"S0415","Keeping up with the pace of the programme is my biggest problem. I have a to-do list that never gets shorter."
"S0416","Mainly my supervisor is hard to reach and I often wait six weeks for a reply. It has been a hard year."
"S0417","I borrowed money from relatives to pay for this semester. Without help from my family I would have had to stop."
"S0418","I never really know what my supervisor expects from me. Sometimes I rewrite the same section again and again without knowing if it is right. Plus stress gives me back pain."
"S0420","I feel uncomfortable asking my supervisor for help. I hope next year is better."
"S0421","Writing my literature review took far longer than I planned. I have seriously thought about leaving the programme"
"S0422","teaching duties take up most of the week, so my own research always comes last. Besides that, my supervisor and I do not always agree."
"S0423","Combining coursework, tutoring and my thesis leaves me no time to rest. Some weeks I study more than sixty hours."
"S0424","Honestly, getting feedback on my questionnaire took over a month, and by then I had lost momentum. I have started to rely on friends for advice instead."
"S0425","Writing my draft took far longer than I planned. It has been a hard year."
"S0426","Every deadline seems to fall in the same few weeks. Planning helps a little, but there is still too much. Otherwise the programme is fine."
"S0427","Writing my literature review took far longer than I planned. I hope next year is better."
"S0428","When my grandmother was in hospital I missed a whole month of work. Also, I get little guidance."
"S0430","My supervsor is hard to reach and I often wait three weeks for a reply. Plus stress gives me headaches."
"S0432","I work alone most of the time with no one to share ideas with. I call my family every day, but it is not the same."
"S0434","It is difficult to get my two supervisors to agree on anything. Sometimes I rewrite the same section again and again without knowing if it is right. And I am always tired."
"S0435","I work late almost every night just to keep up."
"S0436","It is hard to find a quiet place to study at home. Childcare is expensive and not always available."
"S0437","deadlines!!"
