"student_id","biggest_challenge","theme"
"S0066","Honestly, balancing coursework, teaching duties and my thesis leaves me no time to rest. It has been a difficult year","Workload"
"S0067","I study every weekend and still feel behind. On top of that, my family does not really understand why a postgraduate degree takes so long.","Workload"
"S0068","There are few chances to meet other postgraduate students.","Isolation"
"S0071","To be honest, my family does not really understand why a postgraduate degree takes so long.","Family"
"S0076","For me, it is hard to find a quiet place to study at home. And research can be a lonely process, and I miss working with others. It has been a dificult year.","Family"
"S0077","Honestly, I feel nervous asking my supervisor for help.","Supervision"
"S0079","Honestly, the amount of data collection for my project is overwhelming. It has been a difficult year.","Workload"
"S0080","Honestly, I wait a long time for feedback on my chapters, sometimes more than a month.","Supervision"
"S0081","Frequent power cuts made it hard to work in the evenings. Also, my supervisor and I don't agree on the direction of my research. Otherwise the programme is good.","Other"
"S0087","I feel nervous asking my supervisor for help.","Supervision"
"S0088","I work alone most of the time and have no one to discuss ideas with. It has been a difficult year.","Isolation"
"S0093","For me, my supervisor and I don't agree on the direction of my reserch.","Supervision"
"S0103","To be honest, my supervisor changed the focus of my thesis twice, which set me back. And balancing family responsibilities with research is my biggest challenge. I hope things get better next year.","Supervision"
"S0105","For me, I study every weekend and still feel behind. On top of that, stress has affected my health and I get headaches often.","Workload"
"S0110","for me, paying tuition fees while supporting myself is a constant worry. Otherwise the programme is good.","Finances"
"S0111","I study every weekend and still feel behind. Also, I work alone most of the time and have no one to discuss ideas with.","Workload"
"S0112","For me, I study every weekend and still feel behind. Otherwise the programme is good.","Workload"
"S0113","after my baby was born, I struggled to keep my study routine. Otherwise the programme is good.","Family"
"S0114","Honestly, burnout made me lose interest in my research for a while. Otherwise the programme is good.","Health"
"S0115","For me, burnout made me lose interest in my research for a while. It has been a difficult year.","Health"
"S0118","Being far from my family makes the hard days harder.","Isolation"
"S0123","Being far from my family makes the hard days harder. On top of that, meetings with my supervisor are short and I leave with more questions than answers.","Isolation"
"S0125","I rarely get clear guidance, so I am never sure if I am on the right track. The workshop helped a little.","Supervision"
"S0126","I feel tired all the time and find it hard to concentrate. Otherwise the programme is good.","Health"
"S0128","My supervisor is very busy with other students and administration. Also, stress has affected my health and I get headaches often","Supervision"
"S0129","For me, I have trouble sleeping, especially before deadlines.","Health"
"S0132","There are few chances to meet other postgraduate students. And balancing family responsibilities with research is my biggest challenge.","Isolation"
"S0133","I study every weekend and still feel behind. Also, there are few chances to meet other postgraduate students.","Workload"
"S0136","Honestly, I feel like an outsider in my research group. Otherwise the programme is good.","Isolation"
"S0138","Honestly, I stopped exercising and I can feel the difference. On top of that, caring for a sick parent took a lot of my time this year. Otherwise the programme is good.","Health"
"S0140","I feel nervous asking my supervisor for help. And I worry about money more than about my research. Otherwise the programme is good.","Supervision"
"S0141","Writing the literature review took far longer than I expected. I hope things get better next year.","Workload"
"S0142","There is simply too much to do and not enough hours in the week.","Workload"
"S0144","My supervisor is very busy with other students and administration. I hope things get better next year.","Supervision"
"S0146","Honestly, managing several assignments at once is exhausting. And meetings with my supervisor are short and I leave with more questions than answers.","Workload"
"S0147","I wait a long time for feedback on my chapters, sometimes more than a month. On top of that, paying tuition fees while supporting myself is a constant worry. The workshop helped a little.","Supervision"
"S0148","Honestly, balancing coursework, teaching duties and my thesis leaves me no time to rest. I hope things get better next year.","Workload"
"S0150","For me, my supervisor is hard to reach, and I often feel stuck for weeks.","Supervision"
"S0152","For me, my supervisor is hard to reach, and I often feel stuck for weeks. I hope things get better next year.","Supervision"
"S0154","Honestly, caring for a sick parent took a lot of my time this year. And the amount of data collection for my project is overwhelming. Otherwise the programme is good","Family"
"S0157","To be honest, I feel nervous asking my supervisor for help. Also, my salary was delayed several times, which made everything harder. The workshop helped a little.","Supervision"
"S0159","Honestly, managing several assignments at once is exhausting. The workshop helped a little.","Workload"
"S0166","For me, I study every weekend and still feel behind. It has been a difficult year.","Workload"
"S0171","My supervisor changed the focus of my thesis twice, which set me back. Also, caring for a sick parent took a lot of my time this year. It has been a difficult year.","Supervision"
"S0172","I miss home, especially during exam periods. Otherwise the programme is good","Isolation"
"S0174","For me, I stopped exercising and I can feel the difference. And my supervisor is hard to reach, and I often feel stuck for weeks. It has been a difficult year","Health"
"S0176","For me, I rarely get clear guidance, so I am never sure if I am on the right track.","Supervision"
"S0181","To be honest, my supervisor changed the focus of my thesis twice, which set me back. And I cannot afford to travel for data collection.","Supervision"
"S0182","Honestly, I miss home, especially during exam periods. Also, I wait a long time for feedback on my chapters, sometimes more than a month. Otherwise the programme is good.","Isolation"
"S0185","I feel nervous asking my supervisor for help. I hope things get better next year.","Supervision"
"S0189","I wait a long time for feedback on my chapters, sometimes more than a month.","Supervision"
"S0190","Deadlines pile up at the end of every semester. On top of that, getting ethical approval for my study took much longer than planned. I hope things get better next year.","Workload"
"S0191","Honestly, it is hard to find a quiet place to study at home.","Family"
"S0193","For me, I wait a long time for feedback on my chapters, sometimes more than a month. On top of that, I cannot afford to travel for data collection","Supervision"
"S0197","I feel tired all the time and find it hard to concentrate. I hope things get better next year","Health"
"S0199","For me, I work late most nights just to keep up with the reading.","Workload"
"S0200","To be honest, I work late most nights just to keep up with the reading.","Workload"
"S0201","I was ill for several weeks and fell behind. And there are few chances to meet other postgraduate students.","Health"
"S0203","To be honest, I wait a long time for feedback on my chapters, sometimes more than a month. Also, research can be a lonely process, and I miss working with others. It has been a difficult year","Supervision"
"S0210","Honestly, after my baby was born, I struggled to keep my study routine. I hope things get better next year.","Family"
"S0212","For me, caring for a sick parent took a lot of my time this year. Otherwise the programme is good.","Family"
"S0214","To be honest, my supervisor and I don't agree on the direction of my research. On top of that, looking after my children while studying is very difficult. It has been a difficult year","Supervision"
"S0228","my supervisor and I don't agree on the direction of my research. Otherwise the programme is good.","Supervision"
"S0229","To be honest, my supervisor changed the focus of my thesis twice, which set me back. On top of that, there is simply too much to do and not enough hours in the week.","Supervision"
"S0231","For me, my scholarship does not cover my living costs.","Finances"
"S0232","I rarely get clear guidance, so I am never sure if I am on the right track. It has been a difficult year.","Supervision"
"S0237","Finding reliable sources in my own language was difficult. Some days I think about quitting.","Other"
"S0242","Administrative procedures at the university are slow and confusing. Also, I feel nervous asking my supervisor for help. It has been a difficult year.","Other"
"S0244","The library does not have many of the journals I need. It has been a difficult year","Other"
"S0246","Managing several assignments at once is exhausting. Also, my supervisor and I don't agree on the direction of my research.","Workload"
"S0260","I rarely get clear guidance, so I am never sure if I am on the right track. On top of that, managing several assignments at once is exhausting. It has been a difficult year.","Supervision"
"S0261","My supervisor and I don't agree on the direction of my research.","Supervision"
"S0262","Writing the literature review took far longer than I expected. The workshop helped a little.","Workload"
"S0263","Honestly, looking after my children while studying is very difficult. It has been a difficult year.","Family"
"S0271","For me, my supervisor changed the focus of my thesis twice, which set me back. On top of that, I drink too much coffee to stay awake. I hope things get better next year.","Supervision"
"S0280","Being far from my family makes the hard days harder. And writing in academic English is my biggest challenge.","Isolation"
"S0283","I have trouble sleeping, especially before deadlines. I hope things get better next year.","Health"
"S0284","I rarely get clear guidance, so I am never sure if I am on the right track. Otherwise the programme is good","Supervision"
"S0291","Transport and rent take most of my income.","Finances"
"S0297","I work alone most of the time and have no one to discuss ideas with. Also, I wait a long time for feedback on my chapters, sometimes more than a month.","Isolation"
"S0304","My supervisor changed the focus of my thesis twice, which set me back. And I don't know many people in my department. I hope things get better next year.","Supervision"
"S0305","My supervisor and I don't agree on the direction of my reserch. On top of that, I work alone most of the time and have no one to discuss ideas with.","Supervision"
"S0311","Honestly, meetings with my supervisor are short and I leave with more questions than answers. On top of that, anxiety about my progress keeps me awake at night.","Supervision"
"S0320","I study every weekend and still feel behind","Workload"
"S0324","I wait a long time for feedback on my chapters, sometimes more than a month.","Supervision"
"S0325","Honestly, my supervisor is very busy with other students and administration. Otherwise the programme is good","Supervision"
"S0326","For me, my supervisor is very busy with other students and administration. And I feel tired all the time and find it hard to concentrate. It has been a difficult year.","Supervision"
"S0327","Family events and obligations often interrupt my plans.","Family"
"S0328","For me, familly events and obligations often interrupt my plans. And my supervisor changed the focus of my thesis twice, which set me back.","Family"
"S0329","I rarely get clear guidance, so I am never sure if I am on the right track. And I miss home, especially during exam periods. Otherwise the programme is good.","Supervision"
"S0332","Being far from my family makes the hard days harder. I hope things get better next year.","Isolation"
"S0333","stress has affected my health and I get headaches often.","Health"
"S0334","I feel like an outsider in my research group. I hope things get better next year.","Isolation"
"S0341","I feel nervous asking my supervisor for help.","Supervision"
"S0342","Honestly, I cannot afford to travel for data collection. On top of that, my family does not really understand why a postgraduate degree takes so long. I hope things get better next year.","Finances"
"S0344","Honestly, there is simply too much to do and not enough hours in the week. It has been a difficult year.","Workload"
"S0345","I have trouble sleeping, especially before deadlines","Health"
"S0346","Buying books and paying for conferences is expensive. And I work alone most of the time and have no one to discuss ideas with.","Finances"
"S0353","My salary was delayed several times, which made everything harder. And I work late most nights just to keep up with the reading. I hope things get better next year.","Finances"
"S0356","To be honest, my supervisor is hard to reach, and I often feel stuck for weeks. And anxiety about my progress keeps me awake at night. It has been a difficult year.","Supervision"
"S0357","My supervisor changed the focus of my thesis twice, which set me back. And I drink too much coffee to stay awake. It has been a difficult year","Supervision"
"S0358","Honestly, my supervisor changed the focus of my thesis twice, which set me back. It has been a difficult year.","Supervision"
"S0360","To be honest, my family needs me at home and I feel guilty spending time on my thesis.","Family"
"S0362","My supervisor is very busy with other students and administration.","Supervision"
"S0363","I rarely get clear guidance, so I am never sure if I am on the right track.","Supervision"
"S0364","To be honest, research can be a lonely process, and I miss working with others.","Isolation"
"S0366","I feel like an outsider in my research group.","Isolation"
"S0370","Honestly, writing the literature review took far longer than I expected. I hope things get better next year.","Workload"
"S0374","Writing the literature review took far longer than I expected.","Workload"
"S0375","To be honest, my supervisor is very busy with other students and administration. It has been a difficult year.","Supervision"
"S0377","I rarely get clear guidance, so I am never sure if I am on the right track. I hope things get better next year.","Supervision"
"S0378","For me, my supervisor is very busy with other students and administration. The workshop helped a little.","Supervision"
"S0379","To be honest, I moved to a new city for my studies and I feel lonely. It has been a difficult year.","Isolation"
"S0382","I cannot afford to travel for data collection.","Finances"
"S0387","My family needs me at home and I feel guilty spending time on my thesis. It has been a difficult year.","Family"
"S0388","For me, I don't know many people in my department. It has been a difficult year.","Isolation"
"S0393","Managing several assignments at once is exhausting. Otherwise the programme is good","Workload"
"S0396","Managing several assignments at once is exhausting. Also, I feel nervous asking my supervisor for help.","Workload"
"S0401","To be honest, balancing coursework, teaching duties and my thesis leaves me no time to rest. And I feel tired all the time and find it hard to concentrate. The workshop helped a little.","Workload"
"S0403","I miss home, especially during exam periods.","Isolation"
"S0404","for me, being far from my family makes the hard days harder. I hope things get better next year.","Isolation"
"S0407","My supervisor and I don't agree on the direction of my research. I hope things get better next year.","Supervision"
"S0410","for me, my supervisor is hard to reach, and I often feel stuck for weeks. I hope things get better next year.","Supervision"
"S0413","To be honest, I work late most nights just to keep up with the reading. And I feel tired all the time and find it hard to concentrate. I hope things get better next year.","Workload"
"S0416","meetings with my supervisor are short and I leave with more questions than answers.","Supervision"
"S0420","I feel nervous asking my supervisor for help.","Supervision"
"S0421","The amount of data collection for my project is overwhelming. Otherwise the programme is good.","Workload"
"S0422","To be honest, I study every weekend and still feel behind. Also, my supervisor changed the focus of my thesis twice, which set me back.","Workload"
"S0432","There are few chances to meet other postgraduate students. I hope things get better next year.","Isolation"
"S0439","I moved to a new city for my studies and I feel lonely.","Isolation"
"S0442","I had to take a second job to pay for my studies.","Finances"
"S0449","To be honest, I rarely get clear guidance, so I am never sure if I am on the right track. The workshop helped a little.","Supervision"
"S0450","For me, deadlines pile up at the end of every semester. And I miss home, especially during exam periods.","Workload"
"S0453","I worry about money more than about my research.","Finances"
"S0459","To be honest, managing several assignments at once is exhausting. I hope things get better next year.","Workload"
"S0460","I work alone most of the time and have no one to discuss ideas with. On top of that, my supervisor changed the focus of my thesis twice, which set me back. Otherwise the programme is good.","Isolation"
"S0461","to be honest, I feel like an outsider in my research group. It has been a difficult year.","Isolation"
"S0469","To be honest, balancing coursework, teaching duties and my thesis leaves me no time to rest.","Workload"
"S0472","Writing in academic English is my biggest challenge. And it is hard to find a quiet place to study at home. It has been a dificult year.","Other"
"S0473","Stress has affected my health and I get headaches often. Otherwise the programme is good.","Health"
"S0477","For me, my supervisor and I don't agree on the direction of my research. And after my baby was born, I struggled to keep my study routine. I hope things get better next year","Supervision"
"S0478","For me, I study every weekend and still feel behind. On top of that, it is hard to find a quiet place to study at home","Workload"
"S0479","managing several assignments at once is exhausting. Also, my supervisor and I don't agree on the direction of my research. It has been a difficult year","Workload"
"S0481","Managing several assignments at once is exhausting. On top of that, after my baby was born, I struggled to keep my study routine. It has been a difficult year.","Workload"
"S0486","I rarely get clear guidance, so I am never sure if I am on the right track. Otherwise the programme is good.","Supervision"
"S0489","For me, burnout made me lose interest in my research for a while. On top of that, frequent power cuts made it hard to work in the evenings. It has been a difficult year.","Health"
"S0491","There is simply too much to do and not enough hours in the week.","Workload"
"S0492","my supervisor and I don't agree on the direction of my research. Some days I think about quitting.","Supervision"
"S0493","I wait a long time for feedback on my chapters, sometimes more than a month. Also, I moved to a new city for my studies and I feel lonely.","Supervision"
"S0495","Honestly, my supervisor changed the focus of my thesis twice, which set me back. It has been a difficult year.","Supervision"
"S0500","Getting ethical approval for my study took much longer than planned. Otherwise the programme is good","Other"
"S0501","To be honest, I wait a long time for feedback on my chapters, sometimes more than a month. I hope things get better next year.","Supervision"
"S0504","For me, I stopped exercising and I can feel the difference. On top of that, there is simply too much to do and not enough hours in the week. It has been a difficult year.","Health"
"S0509","buying books and paying for conferences is expensive. It has been a difficult year.","Finances"
"S0513","Honestly, I moved to a new city for my studies and I feel lonely. On top of that, I study every weekend and still feel behind.","Isolation"
"S0516","I don't know many people in my department. On top of that, I study every weekend and still feel behind. It has been a difficult year","Isolation"
"S0526","Honestly, I had to take a second job to pay for my studies. The workshop helped a little.","Finances"
"S0538","The amount of data collection for my project is overwhelming. And I had to take a second job to pay for my studies.","Workload"
"S0550","To be honest, my supervisor is hard to reach, and I often feel stuck for weeks.","Supervision"
"S0551","For me, being far from my family makes the hard days harder. Otherwise the programme is good.","Isolation"
"S0553","Honestly, I feel tired all the time and find it hard to concentrate","Health"
"S0558","To be honest, I wait a long time for feedback on my chapters, sometimes more than a month. And I feel tired all the time and find it hard to concentrate.","Supervision"
"S0563","Frequent power cuts made it hard to work in the evenings.","Other"
"S0564","To be honest, I wait a long time for feedback on my chapters, sometimes more than a month. It has been a difficult year.","Supervision"
"S0565","For me, my supervisor and I don't agree on the direction of my research","Supervision"
"S0566","I have trouble sleeping, especially before deadlines. And I wait a long time for feedback on my chapters, sometimes more than a month. Otherwise the programme is good","Health"
"S0567","For me, finding reliable sources in my own language was difficult. Also, my supervisor is hard to reach, and I often feel stuck for weeks.","Other"
"S0569","Honestly, burnout made me lose interest in my research for a while. On top of that, managing several assignments at once is exhausting.","Health"
"S0573","I don't know many people in my department. I hope things get better next year.","Isolation"
"S0580","My supervisor is hard to reach, and I often feel stuck for weeks. And research can be a lonely process, and I miss working with others.","Supervision"
"S0581","I work late most nights just to keep up with the reading.","Workload"
"S0591","To be honest, I work late most nights just to keep up with the reading. Otherwise the programme is good.","Workload"
"S0592","The amount of data collection for my project is overwhelming. And meetings with my supervisor are short and I leave with more questions than answers. I hope things get better next year.","Workload"
"S0596","I rarely get clear guidance, so I am never sure if I am on the right track.","Supervision"
"S0600","Writing the literature review took far longer than I expected.","Workload"
