"student_id","biggest_challenge","theme"
"S0123","Nobody in my group works on anything close to my topic. At the same time, my supervisor is hard to reach. Otherwise the programme is fine.","Isolation"
"S0125","I was assigned a supervisor from a different field who does not know my topic well. I have started to rely on friends for advice instead","Supervision"
"S0126","I stopped exercising and I can feel the difference. The doctor told me to slow down, but I do not see how.","Health"
"S0128","I never really know what my supervisor expects from me. I am afraid to complain because I depend on their support. At the same time, stress gives me insomnia. The wellbeing workshop helped a little.","Supervision"
"S0129","Burnout made me lose interest in my research for a while.","Health"
"S0132","homesickness","Isolation"
"S0133","Keeping up with the pace of the programme is my biggest problem. Besides that, I feel lonely here.","Workload"
"S0136","Research is a lonely process and I miss working with others. It has been a hard year.","Isolation"
"S0138","I drink far too much coffee just to stay awake. On top of that, home is not a quiet place to study.","Health"
"S0140","The direction of my thesis changed twice after comments from my supervisor. Also, the fees keep going up.","Supervision"
"S0141","I work late almost every night just to keep up","Workload"
"S0142","Writing my literature review took far longer than I planned.","Workload"
"S0144","getting feedback on my first chapter took three weeks, and by then I had lost momentum. It has been a hard year.","Supervision"
"S0146","no time","Workload"
"S0147","My supervisor is hard to reach and I often wait six weeks for a reply. Besides that, I also have to work to pay my loan.","Supervision"
"S0148","I underestimated how much work a thesis is. Things are slowly improving.","Workload"
"S0150","our meetings are rushed and I leave with more questions than answers. Other students in my group seem to get much more attention.","Supervision"
"S0152","Getting feedback on my methods chapter took three weeks, and by then I had lost momentum. Sometimes I rewrite the same section again and again without knowing if it is right. It has been a hard year","Supervision"
"S0154","Family.","Family"
"S0157","Honestly, the comments I get are very brief, so I have to guess what to fix. Plus the fees keep going up.","Supervision"
"S0159","There is simply too much to do and never enough time.","Workload"
"S0166","For me, there is simply too much to do and never enough time.","Workload"
"S0171","I never really know what my supervsor expects from me. When we do meet, the advice is useful, but it happens rarely. On top of that, I look after three children. It has been a hard year.","Supervision"
"S0172","I feel like an outsider in my research group.","Isolation"
"S0174","Anxiety about my progress keeps me awake at night. On top of that, I get little guidance.","Health"
"S0176","My supervisor!","Supervision"
"S0181","I never really know what my supervisor expects from me. Plus the fees keep going up.","Supervision"
"S0182","I feel like an outsider in my research group. Besides that, my supervisor and I do not always agree. Things are slowly improving.","Isolation"
"S0185","I sent my draft to my supervisor and heard nothing for a month. Sometimes I rewrite the same section again and again without knowing if it is right","Supervision"
"S0189","My supervisor is hard to reach and I often wait two weeks for a reply.","Supervision"
"S0190","I spend my weekends studying and still feel behind. Also, the university paperwork is slow. Things are slowly improving.","Workload"
"S0191","After my baby was born I could not keep a study routine. Otherwise the programme is fine.","Family"
"S0193","My supervisor has too many students to give each of us proper time. Plus my scholarship is not enough. It has been a hard year.","Supervision"
"S0197","Anxiety about my progress keeps me awake at night.","Health"
"S0199","Writing my literature review took far longer than I planned.","Workload"
"S0200","The reading list alone would take a year to get through. It has been a hard year.","Workload"
"S0201","Honestly, I stopped exercising and I can feel the difference. And I feel lonely here.","Health"
"S0203","the direction of my thesis changed twice after comments from my supervisor. Other students in my group seem to get much more attention. Besides that, I feel lonely here.","Supervision"
"S0210","After my baby was born I could not keep a study routine. I feel I am letting down both my family and my supervisor. Otherwise the programme is fine.","Family"
"S0212","honestly, when my wife was in hospital I missed a whole month of work.","Family"
"S0214","The comments I get are very brief, so I have to guess what to fix. Plus my husband has been ill. I am coping, but only just.","Supervision"
"S0228","I never really know what my supervisor expects from me.","Supervision"
"S0229","Our meetings are rushed and I leave with more questions than answers. On top of that, the reading never ends.","Supervision"
"S0231","I cannot afford to travel for data collection. I am coping, but only just.","Finances"
"S0232","I sent my proposal to my supervisor and heard nothing for a month. Sometimes I rewrite the same section again and again without knowing if it is right.","Supervision"
"S0237","Definitely learning to use the analysis software took most of my first year.","Other"
"S0242","For me, my laptop broke in the middle of the semester and I lost some files. Also, I get little guidance","Other"
"S0244","To be honest, power cuts made it hard to work in the evenings. It delayed my whole timeline. I am coping, but only just.","Other"
"S0246","Teaching duties take up most of the week, so my own research always comes last. And my supervisor is hard to reach.","Workload"
"S0260","I never really know what my supervisor expects from me. I am afraid to complain because I depend on their support. At the same time, the workload is heavy","Supervision"
"S0261","My supervisor went on leave for a semester and I was left on my own. Things are slowly improving","Supervision"
"S0262","I would say writing my questionnaire took far longer than I planned.","Workload"
"S0263","I am the only one at home who can drive, so my days are full of errands. The wellbeing workshop helped a little.","Family"
"S0271","For me, it is difficult to get my two supervisors to agree on anything. And I sleep badly. Things are slowly improving.","Supervision"
"S0280","I work alone most of the time with no one to share ideas with. At the same time, the university paperwork is slow. It has been a hard year.","Isolation"
"S0283","I stopped exercising and I can feel the difference.","Health"
"S0284","Mainly it is difficult to get my two supervisors to agree on anything.","Supervision"
"S0291","Books, software and conference fees are expensive. I am coping, but only just.","Finances"
"S0297","definitely being far from my family makes the bad days worse. Plus my supervisor and I do not always agree.","Isolation"
"S0304","The direction of my thesis changed twice after comments from my supervisor. On top of that, I do not have friends in the department.","Supervision"
"S0305","My supervisor and I see the project very diffrently. Also, I do not have friends in the department.","Supervision"
"S0311","the direction of my thesis changed twice after comments from my supervisor. Besides that, stress gives me headaches. I am coping, but only just.","Supervision"
"S0320","no time","Workload"
"S0324","I never really know what my supervisor expects from me.","Supervision"
"S0325","Getting feedback on my questionnaire took over a month, and by then I had lost momentum. I am coping, but only just.","Supervision"
"S0326","To be honest, my supervisor has too many students to give each of us proper time. Also, my mental health has suffered. Otherwise the programme is fine.","Supervision"
"S0327","Caring for my father, who was ill for most of the year, took much of my time.","Family"
"S0328","Probably my family does not understand why a postgraduate degree takes so long. Childcare is expensive and not always available. Also, the feedback on my work is slow.","Family"
"S0329","getting feedback on my proposal took three weeks, and by then I had lost momentum. At the same time, I miss my family. It has been a hard year.","Supervision"
"S0332","Isolation.","Isolation"
"S0333","Anxiety about my progress keeps me awake at night. I hope next year is better","Health"
"S0334","I hardly know anyone in my department.","Isolation"
"S0341","My supervisor has too many students to give each of us proper time.","Supervision"
"S0342","Books, software and conference fees are expensive. Plus I look after three children.","Finances"
"S0344","Probably there is simply too much to do and never enough time. Otherwise the programme is fine","Workload"
"S0345","I started having headaches in my second semester.","Health"
"S0346","Books, software and conference fees are expensive. At the end of the month I sometimes skip meals. And I do not have friends in the department.","Finances"
"S0353","To be honest, I had to take shifts at a hospital to pay for my studies. Also, the workload is heavy.","Finances"
"S0356","I would say it is difficult to get my two supervisors to agree on anything. And stress gives me stomach problems. I am coping, but only just.","Supervision"
"S0357","The comments I get are very brief, so I have to guess what to fix. Besides that, my mental health has suffered. Things are slowly improving.","Supervision"
"S0358","Nobody tells me whether my work is good enough until it is too late.","Supervision"
"S0360","Honestly, I am the only one at home who can drive, so my days are full of errands. My partner helps, but it is still a struggle","Family"
"S0362","It is difficult to get my two supervisors to agree on anything.","Supervision"
"S0363","I would say the comments I get are very brief, so I have to guess what to fix.","Supervision"
"S0364","since moving to a new city I have spent most evenings alone. Things are slowly improving.","Isolation"
"S0366","Most of my friends have finished studying and moved on. I am coping, but only just.","Isolation"
"S0370","there is simply too much to do and never enough time.","Workload"
"S0374","workload","Workload"
"S0375","It is difficult to get my two supervisors to agree on anything. Otherwise the programme is fine.","Supervision"
"S0377","I was assigned a supervisor from a different field who does not know my topic well. It makes me doubt whether I am capable of finishing.","Supervision"
"S0378","honestly, it is dificult to get my two supervisors to agree on anything.","Supervision"
"S0379","I moved to the capital for my studies and I feel lonely. I call my family every day, but it is not the same.","Isolation"
"S0382","Prices have gone up but my stipend has not. At the end of the month I sometimes skip meals. The wellbeing workshop helped a little.","Finances"
"S0387","Mainly family events and obligations keep interrupting my plans. Weekends belong to the family, not to my thesis. I hope next year is better.","Family"
"S0388","I feel like an outsider in my research group.","Isolation"
"S0393","Probably the reading list alone would take a year to get through. It feels like running without ever reaching the finish line.","Workload"
"S0396","I underestimated how much work a thesis is. Some weeks I study more than sixty hours. Plus my supervisor and I do not always agree","Workload"
"S0401","Combining coursework, my job at a school and my thesis leaves me no time to rest. On top of that, I sleep badly","Workload"
"S0403","The biggest one is that I feel like an outsider in my research group. I did not expect it to feel so isolating. The wellbeing workshop helped a little","Isolation"
"S0404","I miss home, especially during exams.","Isolation"
"S0407","it is difficult to get my two supervisors to agree on anything.","Supervision"
"S0410","Probably my supervisor has too many students to give each of us proper time. I am coping, but only just.","Supervision"
"S0413","The reading list alone would take a year to get through. I cannot remember the last time I took a full day off. Plus I am always tired.","Workload"
"S0416","Mainly my supervisor is hard to reach and I often wait six weeks for a reply. It has been a hard year.","Supervision"
"S0420","I feel uncomfortable asking my supervisor for help. I hope next year is better.","Supervision"
"S0421","Writing my literature review took far longer than I planned. I have seriously thought about leaving the programme","Workload"
"S0422","teaching duties take up most of the week, so my own research always comes last. Besides that, my supervisor and I do not always agree.","Workload"
"S0432","I work alone most of the time with no one to share ideas with. I call my family every day, but it is not the same.","Isolation"
"S0439","I miss home, especially during exams.","Isolation"
"S0442","Paying rent while supporting myself is a constant worry","Finances"
"S0449","My supervisor has too many students to give each of us proper time. I am coping, but only just.","Supervision"
"S0450","Teaching duties take up most of the week, so my own research always comes last. My sleep is the first thing to suffer when deadlines come. Besides that, I feel lonely here. I hope next year is better.","Workload"
"S0453","I had to take a part-time job to pay for my studies. The extra job means less time for my thesis. Things are slowly improving.","Finances"
"S0459","Combining coursework, teaching and my thesis leaves me no time to rest.","Workload"
"S0460","The other students already knew each other when I arrived. At the same time, I get little guidance. I hope next year is better.","Isolation"
"S0461","There are few chances to meet other postgraduate students. Online meetings do not replace having people around. I hope next year is better.","Isolation"
"S0469","Combining coursework, teaching and my thesis leaves me no time to rest.","Workload"
"S0472","learning to use the analysis software took most of my first year. Now it is solved, but I lost a lot of time. On top of that, my family needs me.","Other"
"S0473","Honestly, burnout made me lose interest in my research for a while.","Health"
"S0477","the biggest one is that I was assigned a supervisor from a different field who does not know my topic well. Plus I look after my two kids.","Supervision"
"S0478","Writing my questionnaire took far longer than I planned. At the same time, my mother has been ill.","Workload"
"S0479","The reading list alone would take a year to get through. Besides that, the feedback on my work is slow. It has been a hard year.","Workload"
"S0481","I have to finish my draft and two assignments before the end of the month. My sleep is the first thing to suffer when deadlines come. Plus home is not a quiet place to study.","Workload"
"S0486","It is difficult to get my two supervisors to agree on anything. Other students in my group seem to get much more attention. It has been a hard year.","Supervision"
"S0489","Mainly burnout made me lose interest in my research for a while. The doctor told me to slow down, but I do not see how. Also, statistics is hard for me.","Health"
"S0491","The reading list alone would take a year to get through.","Workload"
"S0492","Our meetings are rushed and I leave with more questions than answers. Sometimes I rewrite the same section again and again without knowing if it is right.","Supervision"
"S0493","It is dificult to get my two supervisors to agree on anything. I am afraid to complain because I depend on their support. At the same time, I work alone all the time.","Supervision"
"S0495","I feel uncomfortable asking my supervisor for help. I hope next year is better.","Supervision"
"S0500","finding participants for my study was a real problem.","Other"
"S0501","Nobody tells me whether my work is good enough until it is too late","Supervision"
"S0504","I drink far too much coffee just to stay awake. Plus there are too many deadlines. Otherwise the programme is fine.","Health"
"S0509","definitely I had to take teaching to pay for my studies.","Finances"
"S0513","The biggest one is that being far from my family makes the bad days worse. On top of that, I never have enough time.","Isolation"
"S0516","I hardly know anyone in my department. Besides that, the reading never ends","Isolation"
"S0526","funding","Finances"
"S0538","Probably I have to finish my questionnaire and two assignments before the end of the month. At the same time, my scholarship is not enough","Workload"
"S0550","nobody tells me whether my work is good enough until it is too late","Supervision"
"S0551","Nobody in my group works on anything close to my topic.","Isolation"
"S0553","Burnout made me lose interest in my research for a while. I finally went to the counselling service, which helped.","Health"
"S0558","nobody tells me whether my work is good enough until it is too late. Plus stress gives me headaches.","Supervision"
"S0563","Finding reliable sources in my own language was difficult.","Other"
"S0564","My supervisor and I see the project very differently. I have seriously thought about leaving the programme.","Supervision"
"S0565","Nobody tells me whether my work is good enough until it is too late. Things are slowly improving.","Supervision"
"S0566","sleep","Health"
"S0567","Writing in academic English is my biggest challenge. Nobody could tell me who was responsible. Besides that, the feedback on my work is slow. I hope next year is better.","Other"
"S0569","The biggest one is that I feel exhausted even after the holidays. I know I should look after myself better. Besides that, I never have enough time.","Health"
"S0573","Definitely the other students already knew each other when I arrived.","Isolation"
"S0580","nobody tells me whether my work is good enough until it is too late. At the same time, I miss my family.","Supervision"
"S0581","Honestly, managing several assignments at the same time is exhausting.","Workload"
"S0591","Teaching duties take up most of the week, so my own research always comes last.","Workload"
"S0592","Keeping up with the pace of the programme is my biggest problem. Also, my supervisor is hard to reach.","Workload"
"S0596","Probably I was assigned a supervisor from a different field who does not know my topic well. It makes me doubt whether I am capable of finishing. I hope next year is better.","Supervision"
"S0600","Every deadline seems to fall in the same few weeks.","Workload"
