"student_id","biggest_challenge"
"S0090","For me, managing several assignments at once is exhausting. On top of that, being far from my familly makes the hard days harder."
"S0092","For me, I feel nervous asking my supervisor for help. Otherwise the programme is good."
"S0093","For me, my supervisor and I don't agree on the direction of my reserch."
"S0094","To be honest, my supervisor is hard to reach, and I often feel stuck for weeks."
"S0095","My supervisor is very busy with other students and administration. I hope things get better next year."
"S0096","Stress has affected my health and I get headaches often. The workshop helped a little."
"S0097","Honestly, buying books and paying for conferences is expensive."
"S0098","My salary was delayed several times, which made everything harder. I hope things get better next year."
"S0099","Managing several assignments at once is exhausting. Also, meetings with my supervisor are short and I leave with more questions than answers."
"S0101","Balancing coursework, teaching duties and my thesis leaves me no time to rest."
"S0103","To be honest, my supervisor changed the focus of my thesis twice, which set me back. And balancing family responsibilities with research is my biggest challenge. I hope things get better next year."
"S0105","For me, I study every weekend and still feel behind. On top of that, stress has affected my health and I get headaches often."
"S0106","Stress has affected my health and I get headaches often. I hope things get better next year."
"S0108","For me, writing the literature review took far longer than I expected."
"S0109","Writing the literature review took far longer than I expected."
"S0110","for me, paying tuition fees while supporting myself is a constant worry. Otherwise the programme is good."
"S0111","I study every weekend and still feel behind. Also, I work alone most of the time and have no one to discuss ideas with."
"S0112","For me, I study every weekend and still feel behind. Otherwise the programme is good."
"S0113","after my baby was born, I struggled to keep my study routine. Otherwise the programme is good."
"S0114","Honestly, burnout made me lose interest in my research for a while. Otherwise the programme is good."
"S0115","For me, burnout made me lose interest in my research for a while. It has been a difficult year."
"S0116","My supervisor changed the focus of my thesis twice, which set me back. On top of that, the amount of data collection for my project is overwhelming. Otherwise the programme is good."
"S0117","I feel nervous asking my supervisor for help"
"S0118","Being far from my family makes the hard days harder."
"S0119","I worry about money more than about my research. It has been a difficult year."
"S0121","To be honest, I feel like an outsider in my research group. On top of that, my supervisor is very busy with other students and administration."
"S0122","I was ill for several weeks and fell behind. Otherwise the programme is good."
"S0123","Being far from my family makes the hard days harder. On top of that, meetings with my supervisor are short and I leave with more questions than answers."
"S0124","Managing several assignments at once is exhausting."
"S0125","I rarely get clear guidance, so I am never sure if I am on the right track. The workshop helped a little."
"S0126","I feel tired all the time and find it hard to concentrate. Otherwise the programme is good."
"S0127","I study every weekend and still feel behind. And my supervisor changed the focus of my thesis twice, which set me back. I hope things get better next year."
"S0128","My supervisor is very busy with other students and administration. Also, stress has affected my health and I get headaches often"
"S0129","For me, I have trouble sleeping, especially before deadlines."
"S0130","To be honest, I work late most nights just to keep up with the reading. Also, the library does not have many of the journals I need. I hope things get better next year."
"S0131","To be honest, meetings with my supervisor are short and I leave with more questions than answers. The workshop helped a little"
"S0132","There are few chances to meet other postgraduate students. And balancing family responsibilities with research is my biggest challenge."
"S0133","I study every weekend and still feel behind. Also, there are few chances to meet other postgraduate students."
"S0134","Honestly, my salary was delayed several times, which made everything harder. And family events and obligations often interrupt my plans."
"S0135","For me, research can be a lonely process, and I miss working with others. I hope things get better next year"
"S0136","Honestly, I feel like an outsider in my research group. Otherwise the programme is good."
"S0138","Honestly, I stopped exercising and I can feel the difference. On top of that, caring for a sick parent took a lot of my time this year. Otherwise the programme is good."
"S0139","My supervisor changed the focus of my thesis twice, which set me back. On top of that, writing the literature review took far longer than I expected."
"S0140","I feel nervous asking my supervisor for help. And I worry about money more than about my research. Otherwise the programme is good."
"S0141","Writing the literature review took far longer than I expected. I hope things get better next year."
"S0142","There is simply too much to do and not enough hours in the week."
"S0143","To be honest, there is simply too much to do and not enough hours in the week. On top of that, meetings with my supervisor are short and I leave with more questions than answers."
"S0144","My supervisor is very busy with other students and administration. I hope things get better next year."
"S0145","There is simply too much to do and not enough hours in the week. It has been a difficult year."
"S0146","Honestly, managing several assignments at once is exhausting. And meetings with my supervisor are short and I leave with more questions than answers."
"S0147","I wait a long time for feedback on my chapters, sometimes more than a month. On top of that, paying tuition fees while supporting myself is a constant worry. The workshop helped a little."
"S0148","Honestly, balancing coursework, teaching duties and my thesis leaves me no time to rest. I hope things get better next year."
"S0149","Balancing coursework, teaching duties and my thesis leaves me no time to rest. I hope things get better next year."
"S0150","For me, my supervisor is hard to reach, and I often feel stuck for weeks."
"S0151","Balancing coursework, teaching duties and my thesis leaves me no time to rest."
"S0152","For me, my supervisor is hard to reach, and I often feel stuck for weeks. I hope things get better next year."
"S0153","I study every weekend and still feel behind. Otherwise the programme is good."
"S0154","Honestly, caring for a sick parent took a lot of my time this year. And the amount of data collection for my project is overwhelming. Otherwise the programme is good"
"S0155","For me, I feel nervous asking my supervisor for help. I hope things get better next year."
"S0156","I work late most nights just to keep up with the reading."
"S0157","To be honest, I feel nervous asking my supervisor for help. Also, my salary was delayed several times, which made everything harder. The workshop helped a little."
"S0158","Honestly, I cannot afford to travel for data collection. Also, there is simply too much to do and not enough hours in the week."
"S0159","Honestly, managing several assignments at once is exhausting. The workshop helped a little."
"S0160","I drink too much coffee to stay awake. On top of that, my supervisor is hard to reach, and I often feel stuck for weeks. Otherwise the programme is good."
"S0161","Being far from my family makes the hard days harder. And my family needs me at home and I feel guilty spending time on my thesis. Otherwise the programme is good."
"S0162","I wait a long time for feedback on my chapters, sometimes more than a month. And my family needs me at home and I feel guilty spending time on my thesis. I hope things get better next year."
"S0163","honestly, the amount of data collection for my project is overwhelming. It has been a difficult year."
"S0164","Honestly, meetings with my supervisor are short and I leave with more questions than answers. Also, I feel like an outsider in my research group."
"S0165","To be honest, I wait a long time for feedback on my chapters, sometimes more than a month."
"S0166","For me, I study every weekend and still feel behind. It has been a difficult year."
"S0167","my family does not really understand why a postgraduate degree takes so long. Some days I think about quitting."
"S0168","For me, caring for a sick parent took a lot of my time this year."
"S0169","I moved to a new city for my studies and I feel lonely. On top of that, I work late most nights just to keep up with the reading."
"S0170","Honestly, my supervisor and I don't agree on the direction of my research."
"S0171","My supervisor changed the focus of my thesis twice, which set me back. Also, caring for a sick parent took a lot of my time this year. It has been a difficult year."
"S0172","I miss home, especially during exam periods. Otherwise the programme is good"
"S0173","Honestly, I work alone most of the time and have no one to discuss ideas with. Also, caring for a sick parent took a lot of my time this year. Otherwise the programme is good."
"S0174","For me, I stopped exercising and I can feel the difference. And my supervisor is hard to reach, and I often feel stuck for weeks. It has been a difficult year"
"S0175","For me, there are few chances to meet other postgraduate students. On top of that, learning statistics for my analysis was harder than I expected. Otherwise the programme is good."
"S0176","For me, I rarely get clear guidance, so I am never sure if I am on the right track."
"S0177","Burnout made me lose interest in my research for a while. Also, I work late most nights just to keep up with the reading. It has been a difficult year."
"S0178","There is simply too much to do and not enough hours in the week. And my salary was delayed several times, which made everything harder."
"S0179","My scholarship does not cover my living costs. Also, finding participants for my data collection was a real problem. Otherwise the programme is good."
"S0180","To be honest, I feel nervous asking my supervisor for help. On top of that, writing the literature review took far longer than I expected."
"S0181","To be honest, my supervisor changed the focus of my thesis twice, which set me back. And I cannot afford to travel for data collection."
"S0182","Honestly, I miss home, especially during exam periods. Also, I wait a long time for feedback on my chapters, sometimes more than a month. Otherwise the programme is good."
"S0184","Honestly, meetings with my supervisor are short and I leave with more questions than answers. Otherwise the programme is good."
"S0185","I feel nervous asking my supervisor for help. I hope things get better next year."
"S0186","Writing the literature review took far longer than I expected."
"S0187","For me, my supervisor is very busy with other students and administration. On top of that, I feel like an outsider in my research group. I hope things get better next year."
"S0188","My supervisor changed the focus of my thesis twice, which set me back."
"S0189","I wait a long time for feedback on my chapters, sometimes more than a month."
"S0190","Deadlines pile up at the end of every semester. On top of that, getting ethical approval for my study took much longer than planned. I hope things get better next year."
"S0191","Honestly, it is hard to find a quiet place to study at home."
"S0192","For me, my supervisor changed the focus of my thesis twice, which set me back"
"S0193","For me, I wait a long time for feedback on my chapters, sometimes more than a month. On top of that, I cannot afford to travel for data collection"
"S0194","I drink too much coffee to stay awake. It has been a difficult year."
"S0195","Managing several assignments at once is exhausting."
"S0196","Honestly, burnout made me lose interest in my research for a while. On top of that, writing the literature review took far longer than I expected. It has been a difficult year"
"S0197","I feel tired all the time and find it hard to concentrate. I hope things get better next year"
"S0198","I feel nervous asking my supervisor for help. Otherwise the programme is good."
"S0199","For me, I work late most nights just to keep up with the reading."
"S0200","To be honest, I work late most nights just to keep up with the reading."
"S0201","I was ill for several weeks and fell behind. And there are few chances to meet other postgraduate students."
"S0202","Balancing coursework, teaching duties and my thesis leaves me no time to rest. The workshop helped a little."
"S0203","To be honest, I wait a long time for feedback on my chapters, sometimes more than a month. Also, research can be a lonely process, and I miss working with others. It has been a difficult year"
"S0204","for me, my supervisor and I don't agree on the direction of my research. Also, the amount of data collection for my project is overwhelming. Otherwise the programme is good."
"S0205","Honestly, my supervisor is very busy with other students and administration. Also, there are few chances to meet other postgraduate students. I hope things get better next year."
"S0206","Honestly, meetings with my supervisor are short and I leave with more questions than answers."
"S0207","There is simply too much to do and not enough hours in the week. It has been a difficult year."
"S0208","Honestly, my supervisor is hard to reach, and I often feel stuck for weeks. Otherwise the programme is good."
"S0209","My supervisor changed the focus of my thesis twice, which set me back. On top of that, I miss home, especially during exam periods. It has been a difficult year."
"S0210","Honestly, after my baby was born, I struggled to keep my study routine. I hope things get better next year."
"S0211","Deadlines pile up at the end of every semester. Otherwise the programme is good."
"S0212","For me, caring for a sick parent took a lot of my time this year. Otherwise the programme is good."
"S0213","Honestly, I wait a long time for feedback on my chapters, sometimes more than a month. The workshop helped a little."
"S0214","To be honest, my supervisor and I don't agree on the direction of my research. On top of that, looking after my children while studying is very difficult. It has been a difficult year"
"S0215","I was ill for several weeks and fell behind. It has been a difficult year."
"S0216","Balancing family responsibilities with reserch is my biggest challenge. I hope things get better next year."
"S0217","Honestly, it is hard to find a quiet place to study at home. Also, deadlines pile up at the end of every semester."
"S0219","Family events and obligations often interrupt my plans. Also, I work late most nights just to keep up with the reading. Otherwise the programme is good."
"S0221","To be honest, transport and rent take most of my income. And I don't know many people in my department."
"S0222","I feel nervous asking my supervisor for help. It has been a difficult year."
"S0223","Paying tuition fees while supporting myself is a constant worry. And deadlines pile up at the end of every semester."
"S0224","Honestly, writing the literature review took far longer than I expected. And I feel nervous asking my supervisor for help."
"S0225","I wait a long time for feedback on my chapters, sometimes more than a month. Otherwise the programme is good."
"S0226","For me, meetings with my supervisor are short and I leave with more questions than answers. On top of that, I study every weekend and still feel behind"
"S0227","Writing in academic English is my biggest challenge. It has been a difficult year."
"S0228","my supervisor and I don't agree on the direction of my research. Otherwise the programme is good."
"S0229","To be honest, my supervisor changed the focus of my thesis twice, which set me back. On top of that, there is simply too much to do and not enough hours in the week."
"S0230","For me, I rarely get clear guidance, so I am never sure if I am on the right track. It has been a difficult year"
"S0231","For me, my scholarship does not cover my living costs."
"S0232","I rarely get clear guidance, so I am never sure if I am on the right track. It has been a difficult year."
"S0235","For me, there are few chances to meet other postgraduate students."
"S0236","Meetings with my supervisor are short and I leave with more questions than answers. On top of that, there are few chances to meet other postgraduate students. It has been a difficult year."
"S0237","Finding reliable sources in my own language was difficult. Some days I think about quitting."
"S0239","Getting ethical approval for my study took much longer than planned."
"S0241","To be honest, burnout made me lose interest in my research for a while. It has been a difficult year."
"S0242","Administrative procedures at the university are slow and confusing. Also, I feel nervous asking my supervisor for help. It has been a difficult year."
"S0243","honestly, I work alone most of the time and have no one to discuss ideas with."
"S0244","The library does not have many of the journals I need. It has been a difficult year"
"S0245","For me, administrative procedures at the university are slow and confusing. On top of that, meetings with my supervisor are short and I leave with more questions than answers."
"S0246","Managing several assignments at once is exhausting. Also, my supervisor and I don't agree on the direction of my research."
"S0247","My supervisor changed the focus of my thesis twice, which set me back. It has been a difficult year."
"S0248","Honestly, my supervisor is very busy with other students and administration. And burnout made me lose interest in my research for a while. The workshop helped a little."
"S0249","Honestly, I was ill for several weeks and fell behind. I hope things get better next year."
"S0250","Honestly, research can be a lonely process, and I miss working with others."
"S0251","My supervisor changed the focus of my thesis twice, which set me back. Also, writing the literature review took far longer than I expected."
"S0252","I study every weekend and still feel behind. And I feel tired all the time and find it hard to concentrate."
"S0253","I feel nervous asking my supervisor for help. The workshop helped a little."
"S0254","To be honest, managing several assignments at once is exhausting. And my supervisor is very busy with other students and administration."
"S0255","For me, getting ethical approval for my study took much longer than planned."
"S0256","My supervisor is very busy with other students and administration. On top of that, I work late most nights just to keep up with the reading. It has been a difficult year"
"S0257","Writing the literature review took far longer than I expected. On top of that, I rarely get clear guidance, so I am never sure if I am on the right track."
"S0258","Honestly, I had to take a second job to pay for my studies."
"S0259","My supervisor changed the focus of my thesis twice, which set me back."
"S0260","I rarely get clear guidance, so I am never sure if I am on the right track. On top of that, managing several assignments at once is exhausting. It has been a difficult year."
"S0261","My supervisor and I don't agree on the direction of my research."
"S0262","Writing the literature review took far longer than I expected. The workshop helped a little."
"S0263","Honestly, looking after my children while studying is very difficult. It has been a difficult year."
"S0264","After my baby was born, I struggled to keep my study routine."
"S0265","For me, my supervisor changed the focus of my thesis twice, which set me back"
"S0266","Honestly, transport and rent take most of my income."
"S0267","Honestly, I drink too much coffee to stay awake. On top of that, writing the literature review took far longer than I expected."
"S0268","For me, the amount of data collection for my project is overwhelming. I hope things get better next year."
"S0271","For me, my supervisor changed the focus of my thesis twice, which set me back. On top of that, I drink too much coffee to stay awake. I hope things get better next year."
"S0272","For me, my supervisor is very busy with other students and administration."
"S0273","I feel tired all the time and find it hard to concentrate. And I rarely get clear guidance, so I am never sure if I am on the right track."
"S0274","For me, learning statistics for my analysis was harder than I expected. I hope things get better next year."
"S0275","for me, I feel like an outsider in my research group. Otherwise the programme is good."
"S0276","To be honest, I wait a long time for feedback on my chapters, sometimes more than a month. I hope things get better next year."
"S0277","Writing the literature review took far longer than I expected. Otherwise the programme is good."
"S0278","I study every weekend and still feel behind. On top of that, I have trouble sleeping, especially before deadlines."
"S0279","I work alone most of the time and have no one to discuss ideas with. It has been a difficult year"
"S0280","Being far from my family makes the hard days harder. And writing in academic English is my biggest challenge."
"S0282","Meetings with my supervisor are short and I leave with more questions than answers. Also, finding reliable sources in my own language was difficult."
"S0283","I have trouble sleeping, especially before deadlines. I hope things get better next year."
"S0284","I rarely get clear guidance, so I am never sure if I am on the right track. Otherwise the programme is good"
"S0285","I rarely get clear guidance, so I am never sure if I am on the right track. I hope things get better next year."
"S0287","I work alone most of the time and have no one to discuss ideas with. And my supervisor changed the focus of my thesis twice, which set me back. Otherwise the programme is good."
"S0288","I rarely get clear guidance, so I am never sure if I am on the right track. I hope things get better next year."
"S0289","Stress has affected my health and I get headaches often."
"S0290","To be honest, my supervisor and I don't agree on the direction of my research. Otherwise the programme is good"
"S0291","Transport and rent take most of my income."
"S0292","Transport and rent take most of my income. It has been a difficult year."
"S0293","For me, my salary was delayed several times, which made everything harder."
"S0294","My supervisor is very busy with other students and administration. Otherwise the programme is good"
"S0295","My supervisor and I don't agree on the direction of my research. And I work late most nights just to keep up with the reading. It has been a difficult year."
"S0296","I was ill for several weeks and fell behind."
"S0297","I work alone most of the time and have no one to discuss ideas with. Also, I wait a long time for feedback on my chapters, sometimes more than a month."
"S0298","Meetings with my supervisor are short and I leave with more questions than answers. On top of that, my family needs me at home and I feel guilty spending time on my thesis."
"S0299","To be honest, managing several assignments at once is exhausting. The workshop helped a little."
"S0300","For me, paying tuition fees while supporting myself is a constant worry. Otherwise the programme is good."
"S0301","Honestly, my supervisor is hard to reach, and I often feel stuck for weeks. Otherwise the programme is good."
"S0302","I rarely get clear guidance, so I am never sure if I am on the right track. On top of that, I cannot afford to travel for data collection."
"S0303","Family events and obligations often interrupt my plans."
"S0304","My supervisor changed the focus of my thesis twice, which set me back. And I don't know many people in my department. I hope things get better next year."
"S0305","My supervisor and I don't agree on the direction of my reserch. On top of that, I work alone most of the time and have no one to discuss ideas with."
"S0306","Honestly, I drink too much coffee to stay awake."
"S0307","To be honest, I study every weekend and still feel behind. It has been a difficult year."
"S0308","Honestly, I feel tired all the time and find it hard to concentrate. The workshop helped a little."
"S0309","Administrative procedures at the university are slow and confusing. On top of that, I work late most nights just to keep up with the reading."
"S0310","Honestly, the amount of data collection for my project is overwhelming. I hope things get better next year."
"S0311","Honestly, meetings with my supervisor are short and I leave with more questions than answers. On top of that, anxiety about my progress keeps me awake at night."
"S0312","The amount of data collection for my project is overwhelming. Otherwise the programme is good."
"S0313","honestly, being far from my family makes the hard days harder."
"S0314","I feel nervous asking my supervisor for help."
"S0316","Honestly, I have trouble sleeping, especially before deadlines. Otherwise the programme is good."
"S0317","Deadlines pile up at the end of every semester."
"S0319","Honestly, research can be a lonely process, and I miss working with others. And I wait a long time for feedback on my chapters, sometimes more than a month."
"S0320","I study every weekend and still feel behind"
"S0321","my supervisor and I don't agree on the direction of my research. I hope things get better next year."
"S0322","caring for a sick parent took a lot of my time this year."
"S0324","I wait a long time for feedback on my chapters, sometimes more than a month."
"S0325","Honestly, my supervisor is very busy with other students and administration. Otherwise the programme is good"
"S0326","For me, my supervisor is very busy with other students and administration. And I feel tired all the time and find it hard to concentrate. It has been a difficult year."
"S0327","Family events and obligations often interrupt my plans."
"S0328","For me, familly events and obligations often interrupt my plans. And my supervisor changed the focus of my thesis twice, which set me back."
"S0329","I rarely get clear guidance, so I am never sure if I am on the right track. And I miss home, especially during exam periods. Otherwise the programme is good."
"S0330","Writing in academic English is my biggest challenge. It has been a difficult year."
"S0331","Honestly, my supervisor is hard to reach, and I often feel stuck for weeks."
"S0332","Being far from my family makes the hard days harder. I hope things get better next year."
"S0333","stress has affected my health and I get headaches often."
"S0334","I feel like an outsider in my research group. I hope things get better next year."
"S0335","For me, stress has affected my health and I get headaches often. I hope things get better next year."
"S0336","Honestly, I rarely get clear guidance, so I am never sure if I am on the right track."
"S0337","Caring for a sick parent took a lot of my time this year. Also, writing the literature review took far longer than I expected."
"S0338","To be honest, after my baby was born, I struggled to keep my study routine. I hope things get better next year."
"S0339","For me, I study every weekend and still feel behind. The workshop helped a little."
"S0340","My supervisor changed the focus of my thesis twice, which set me back. It has been a difficult year."
"S0341","I feel nervous asking my supervisor for help."
"S0342","Honestly, I cannot afford to travel for data collection. On top of that, my family does not really understand why a postgraduate degree takes so long. I hope things get better next year."
"S0343","Honestly, I wait a long time for feedback on my chapters, sometimes more than a month. It has been a difficult year."
"S0344","Honestly, there is simply too much to do and not enough hours in the week. It has been a difficult year."
"S0345","I have trouble sleeping, especially before deadlines"
"S0346","Buying books and paying for conferences is expensive. And I work alone most of the time and have no one to discuss ideas with."
"S0347","deadlines pile up at the end of every semester. Also, my supervisor is very busy with other students and administration. It has been a difficult year."
"S0348","Deadlines pile up at the end of every semester. Otherwise the programme is good."
"S0349","To be honest, after my baby was born, I struggled to keep my study routine. And I drink too much coffee to stay awake."
"S0352","To be honest, I worry about money more than about my research."
"S0353","My salary was delayed several times, which made everything harder. And I work late most nights just to keep up with the reading. I hope things get better next year."
"S0355","For me, caring for a sick parent took a lot of my time this year. It has been a difficult year."
"S0356","To be honest, my supervisor is hard to reach, and I often feel stuck for weeks. And anxiety about my progress keeps me awake at night. It has been a difficult year."
"S0357","My supervisor changed the focus of my thesis twice, which set me back. And I drink too much coffee to stay awake. It has been a difficult year"
"S0358","Honestly, my supervisor changed the focus of my thesis twice, which set me back. It has been a difficult year."
"S0359","For me, I work late most nights just to keep up with the reading. And my supervisor is hard to reach, and I often feel stuck for weeks. Otherwise the programme is good."
"S0360","To be honest, my family needs me at home and I feel guilty spending time on my thesis."
"S0361","For me, I moved to a new city for my studies and I feel lonely. On top of that, I cannot afford to travel for data collection. I hope things get better next year."
"S0362","My supervisor is very busy with other students and administration."
"S0363","I rarely get clear guidance, so I am never sure if I am on the right track."
"S0364","To be honest, research can be a lonely process, and I miss working with others."
"S0365","I rarely get clear guidance, so I am never sure if I am on the right track. I hope things get better next year"
"S0366","I feel like an outsider in my research group."
"S0367","To be honest, deadlines pile up at the end of every semester. It has been a difficult year."
"S0368","Honestly, I moved to a new city for my studies and I feel lonely. It has been a difficult year."
"S0369","Honestly, my supervisor is hard to reach, and I often feel stuck for weeks. It has been a dificult year."
"S0370","Honestly, writing the literature review took far longer than I expected. I hope things get better next year."
"S0371","Stress has affected my health and I get headaches often. It has been a dificult year."
"S0372","Honestly, my supervisor is very busy with other students and administration. I hope things get better next year."
"S0374","Writing the literature review took far longer than I expected."
"S0375","To be honest, my supervisor is very busy with other students and administration. It has been a difficult year."
"S0377","I rarely get clear guidance, so I am never sure if I am on the right track. I hope things get better next year."
"S0378","For me, my supervisor is very busy with other students and administration. The workshop helped a little."
"S0379","To be honest, I moved to a new city for my studies and I feel lonely. It has been a difficult year."
"S0381","balancing coursework, teaching duties and my thesis leaves me no time to rest. And I feel nervous asking my supervisor for help."
"S0382","I cannot afford to travel for data collection."
"S0383","for me, I miss home, especially during exam periods. Otherwise the programme is good."
"S0384","Honestly, my family does not really understand why a postgraduate degree takes so long. And frequent power cuts made it hard to work in the evenings"
"S0385","My supervisor is hard to reach, and I often feel stuck for weeks. Also, writing the literature review took far longer than I expected."
"S0386","I study every weekend and still feel behind. Otherwise the programme is good."
"S0387","My family needs me at home and I feel guilty spending time on my thesis. It has been a difficult year."
"S0388","For me, I don't know many people in my department. It has been a difficult year."
"S0389","For me, transport and rent take most of my income. I hope things get better next year"
"S0390","I wait a long time for feedback on my chapters, sometimes more than a month. Otherwise the programme is good."
"S0391","Honestly, I feel tired all the time and find it hard to concentrate. I hope things get better next year."
"S0392","I work late most nights just to keep up with the reading. Otherwise the programme is good."
"S0393","Managing several assignments at once is exhausting. Otherwise the programme is good"
"S0396","Managing several assignments at once is exhausting. Also, I feel nervous asking my supervisor for help."
"S0397","Finding participants for my data collection was a real problem."
"S0398","Writing the literature review took far longer than I expected."
"S0399","There are few chances to meet other postgraduate students."
